INDEX,INDEX_SLUG,INDEX_SLUG_CLEAN,SOURCE,SOURCE_temp,SOURCE_codes,SOURCE_codes_temp,NOM DU LIEU,ADRESSE
pingcarto14_,la-cordée-nantes---fouré,la-cordee-nantes---foure,CGET,France Tiers-Lieux,CGET,FTL,La Cordée Nantes - Fouré,32bis rue Fouré 44000 Nantes  
pingcarto15_,l’atelier-9,l’atelier-9,CGET,France Tiers-Lieux,CGET,FTL,L’Atelier 9,9 Rue des Olivettes 44000 Nantes
pingcarto16_,la-conciergerie-coworking,la-conciergerie-coworking,CAP Tiers-Lieux,CAP Tiers-Lieux,CAPTL,CAPTL,La Conciergerie Coworking,20 Mail des Chantiers 44000 Nantes
pingcarto17_,la-conciergerie-du-parc,la-conciergerie-du-parc,CAP Tiers-Lieux,CAP Tiers-Lieux,CAPTL,CAPTL,La Conciergerie du Parc,24 Mail des Chantiers 44000 Nantes
pingcarto18_,la-conciergerie-du-front-pop-,la-conciergerie-du-front-pop-,CAP Tiers-Lieux,CAP Tiers-Lieux,CAPTL,CAPTL,La Conciergerie du Front Pop',1 Mail du Front Populaire 44000 Nantes
pingcarto19_,le-solilab,le-solilab,CAP Tiers-Lieux – CGET,CAP Tiers-Lieux – France Tiers-Lieux,CAPTL-CGET,CAPTL-FTL,Le Solilab,8 rue Saint Domingue 44200 NANTES
pingcarto20_,ora,ora,CAP Tiers-Lieux,CAP Tiers-Lieux,CAPTL,CAPTL,ORA,7 rue Magdeleine 44200 Nantes
pingcarto21_,plateforme-c,plateforme-c,PiNG – CAP Tiers-Lieux – CGET,PiNG – CAP Tiers-Lieux – France Tiers-Lieux,PiNG-CAPTL-CGET,PiNG-CAPTL-FTL,Plateforme C,Quai des Antilles hangar 30 44200 Nantes
pingcarto22_,atelier-partagé-du-breil,atelier-partage-du-breil,PiNG – CAP Tiers-Lieux – CGET,PiNG – CAP Tiers-Lieux – France Tiers-Lieux,PiNG-CAPTL-CGET,PiNG-CAPTL-FTL,Atelier Partagé du Breil,38 rue du Breil 44100 Nantes
pingcarto23_,le-grand-bain,le-grand-bain,CAP Tiers-Lieux,CAP Tiers-Lieux,CAPTL,CAPTL,Le Grand Bain,23 Allée Baco 44000 Nantes
pingcarto24_,la-galerie-zéro-déchet,la-galerie-zero-dechet,CAP Tiers-Lieux,CAP Tiers-Lieux,CAPTL,CAPTL,La Galerie zéro déchet,5 Rue Fénelon 44000 Nantes
pingcarto25_,association-médiagraph,association-mediagraph,PiNG – CAP Tiers-Lieux – CGET,PiNG – CAP Tiers-Lieux – France Tiers-Lieux,PiNG-CAPTL-CGET,PiNG-CAPTL-FTL,Association Médiagraph,1 rue d'Auvours  44000 Nantes
pingcarto26_,la-station,la-station,CAP Tiers-Lieux,CAP Tiers-Lieux,CAPTL,CAPTL,La Station,15 quai Ernest Renaud 44100 Nantes
pingcarto27_,le-wattignies,le-wattignies,CAP Tiers-Lieux,CAP Tiers-Lieux,CAPTL,CAPTL,Le Wattignies,13 Boulevard des Martyrs Nantais de la Résistance 44000 Nantes
pingcarto28_,forum-titi,forum-titi,CAP Tiers-Lieux,CAP Tiers-Lieux,CAPTL,CAPTL,Forum Titi,7 Rue Louis Blériot 44700 Orvault
pingcarto29_,centre-socio-culturel-de-l’allée-verte,centre-socio-culturel-de-l’allee-verte,PiNG,PiNG,PiNG,PiNG,Centre Socio-culturel de l’Allée Verte,1 rue de l’allée verte 44230 Saint-Sébastien-sur-Loire
pingcarto30_,workhub,workhub,CGET,France Tiers-Lieux,CGET,FTL,Workhub,1 avenue des Lions 44800 Saint-Herblain
pingcarto31_,la-ruche-saint-nazaire,la-ruche-saint-nazaire,CGET – CAP Tiers-Lieux,France Tiers-Lieux – CAP Tiers-Lieux,CGET-CAPTL,FTL-CAPTL,La Ruche Saint-Nazaire,25 Rue de l'étoile du matin 44600 Saint-Nazaire
pingcarto32_,office-coffee,office-coffee,CGET,France Tiers-Lieux,CGET,FTL,Office Coffee,21 Avenue du Commandant l'Herminier 44600 Saint-Nazaire
pingcarto33_,les-abeilles-44,les-abeilles-44,CAP Tiers-Lieux,CAP Tiers-Lieux,CAPTL,CAPTL,Les abeilles 44,3 rue de l'Écluse Saint-Nazaire 44600 Saint-Nazaire
pingcarto34_,le-périscop,le-periscop,CGET,France Tiers-Lieux,CGET,FTL,Le Périscop,18 Boulevard Paul Perrin 44600 Saint-Nazaire
pingcarto35_,ecole-d-arts---ateliers-numériques,ecole-d-arts---ateliers-numeriques,PiNG,PiNG,PiNG,PiNG,Ecole d'Arts - Ateliers numériques,24 Avenue Léon Blum 44600 Saint-Nazaire
pingcarto36_,bluelab,bluelab,CAP Tiers-Lieux – PiNG,CAP Tiers-Lieux – PiNG,CAPTL-PiNG,CAPTL-PiNG,Bluelab,66 Centre République 44600 Saint-Nazaire
pingcarto37_,centre-socioculturel-tempo,centre-socioculturel-tempo,PiNG,PiNG,PiNG,PiNG,Centre Socioculturel Tempo,7 rue du 11 novembre 44130 Blain
pingcarto38_,la-minothèque,la-minotheque,CAP Tiers-Lieux,CAP Tiers-Lieux,CAPTL,CAPTL,La Minothèque,21 bis rue Louis Guihot 44130 Bouvron
pingcarto39_,le-transistore,le-transistore,CAP Tiers-Lieux,CAP Tiers-Lieux,CAPTL,CAPTL,Le Transistore,La Chapelle sur Erdre
pingcarto40_,le-millelieu,le-millelieu,CAP Tiers-Lieux,CAP Tiers-Lieux,CAPTL,CAPTL,Le Millelieu,1 rue Félix Platel 44310 Saint Philbert de Grand Lieu
pingcarto41_,hackerspace-lafach-amicale-laïque-castelbriantaise,hackerspace-lafach-amicale-laique-castelbriantaise,CGET,France Tiers-Lieux,CGET,FTL,Hackerspace LaFaCh (Amicale Laïque Castelbriantaise),13 Place Ernest Breant 44110 Châteaubriant
pingcarto42_,cow-b,cow-b,CGET,France Tiers-Lieux,CGET,FTL,Cow-B,7 Rue Jean-Baptiste Olivier 44130 Bouvron
pingcarto43_,le-3ème-lieu,le-3eme-lieu,CGET,France Tiers-Lieux,CGET,FTL,Le 3ème Lieu,8 place de l’Église 44170 Abbaretz
pingcarto44_,l’incubacteur-estuaire-et-sillon,l’incubacteur-estuaire-et-sillon,CGET,France Tiers-Lieux,CGET,FTL,L’Incubacteur Estuaire et Sillon,La Croix Gaudin 44360 Saint-Etienne de Montluc
